city,timezone
Kabul,Asia/Kabul
Tirana,Europe/Tirane
Algiers,Africa/Algiers
Andorra la Vella,Europe/Andorra
Luanda,Africa/Luanda
Buenos Aires,America/Argentina/Buenos_Aires
Yerevan,Asia/Yerevan
Canberra,Australia/Sydney
Vienna,Europe/Vienna
Baku,Asia/Baku
Nassau,America/Nassau
Manama,Asia/Bahrain
Dhaka,Asia/Dhaka
Brussels,Europe/Brussels
Belmopan,America/Belize
Porto-Novo,Africa/Porto-Novo
Thimphu,Asia/Thimphu
La Paz,America/La_Paz
Sarajevo,Europe/Sarajevo
Gaborone,Africa/Gaborone
Brasilia,America/Sao_Paulo
Bandar Seri Begawan,Asia/Brunei
Sofia,Europe/Sofia
Ouagadougou,Africa/Ouagadougou
Gitega,Africa/Bujumbura
Phnom Penh,Asia/Phnom_Penh
Yaounde,Africa/Douala
Ottawa,America/Toronto
Praia,Atlantic/Cape_Verde
Bangui,Africa/Bangui
N'Djamena,Africa/Ndjamena
Santiago,America/Santiago
Beijing,Asia/Shanghai
Bogota,America/Bogota
Moroni,Indian/Comoro
Kinshasa,Africa/Kinshasa
San Jose,America/Costa_Rica
Zagreb,Europe/Zagreb
Havana,America/Havana
Nicosia,Asia/Nicosia
Prague,Europe/Prague
Copenhagen,Europe/Copenhagen
Djibouti,Africa/Djibouti
Roseau,America/Dominica
Santo Domingo,America/Santo_Domingo
Quito,America/Guayaquil
Cairo,Africa/Cairo
San Salvador,America/El_Salvador
Malabo,Africa/Malabo
Asmara,Africa/Asmara
Tallinn,Europe/Tallinn
Addis Ababa,Africa/Addis_Ababa
Suva,Pacific/Fiji
Helsinki,Europe/Helsinki
Paris,Europe/Paris
Libreville,Africa/Libreville
Banjul,Africa/Banjul
Tbilisi,Asia/Tbilisi
Berlin,Europe/Berlin
Accra,Africa/Accra
Athens,Europe/Athens
Saint George's,America/Grenada
Guatemala City,America/Guatemala
Conakry,Africa/Conakry
Bissau,Africa/Bissau
Georgetown,America/Guyana
Port-au-Prince,America/Port-au-Prince
Tegucigalpa,America/Tegucigalpa
Budapest,Europe/Budapest
Reykjavik,Atlantic/Reykjavik
New Delhi,Asia/Kolkata
Jakarta,Asia/Jakarta
Tehran,Asia/Tehran
Baghdad,Asia/Baghdad
Dublin,Europe/Dublin
Jerusalem,Asia/Jerusalem
Rome,Europe/Rome
Kingston,America/Jamaica
Tokyo,Asia/Tokyo
Amman,Asia/Amman
Nur-Sultan,Asia/Almaty
Nairobi,Africa/Nairobi
Tarawa,Pacific/Tarawa
Skopje,Europe/Skopje
Luxembourg,Europe/Luxembourg
Valletta,Europe/Malta
Port Louis,Indian/Mauritius
Mexico City,America/Mexico_City
Chisinau,Europe/Chisinau
Monaco,Europe/Monaco
Ulaanbaatar,Asia/Ulaanbaatar
Podgorica,Europe/Podgorica
Rabat,Africa/Casablanca
Maputo,Africa/Maputo
Windhoek,Africa/Windhoek
Kathmandu,Asia/Kathmandu
Amsterdam,Europe/Amsterdam
Wellington,Pacific/Auckland
Caracas,America/Caracas
Lusaka,Africa/Lusaka
